,지역구,의료기관,주소,위도,경도,상세주소,전화번호
0,강서구,마곡정신건강의학과의원,마곡중앙로 161-17,37.5599103,126.8268895,보타닉파크타워1차 4층 401호,02.6053.1416
1,강서구,맑은샘정신건강의학과의원,강서로 43-17,37.5292654,126.8481558,오거닉스타워 6층,02.6403.9139
2,강서구,봄정신건강의학과의원,공항대로 269-15,37.5469819,126.8765701,힐스테이트에코마곡 2층 209호,02.2135.2924
3,강서구,심(心)정신건강의학과의원,마곡중앙6로 66,37.5601839,126.8343585,퀸즈파크텐 2층 204호,02.6411.9088
4,강서구,연세마곡숲정신건강의학과의원,마곡중앙5로 6,37.5671609,126.8220048,보타닉푸르지오시티 동관 2층 238호,02.2659.1610
5,강서구,연세소울정신건강의학과의원,강서로 360,37.5292654,126.8481558,솔레드림빌딩 4층 401호,02.2645.7502
6,강서구,우리동네연세정신건강의학과의원,강서로 43,37.5315298,126.8465161,도양라비앙타워 802호,02.2696.2538
7,강서구,은초록샘정신건강의학과의원,양천로 492,37.5731597,126.8100534,길훈엔트런스빌 2층 201호,02.2063.3618
8,강서구,이지정신건강의학과의원,강서로 251,37.5292654,126.8481558,세란빌딩 3층,02.6959.1175
9,강서구,화곡정신건강의학과의원,강서로 161,37.5292654,126.8481558,대송빌딩 3층,
10,영등포구,가족사랑서울정신건강의학과의원,당산로 222,37.5332737,126.9023723,당산디오빌 2층,02.2068.7486
11,영등포구,같은마음정신건강의학과의원,영중로2길 1,37.5168984,126.9070573,대선빌딩 12층,02.2677.7582
12,영등포구,그래정신건강의학과의원,양평로 20,37.533112,126.9041261,tower020 2층,02.2635.8277
13,영등포구,당산숲정신건강의학과의원,양평로 46,37.5344673,126.9016531,세바빌딩 4층,02.2088.0869
14,영등포구,라엘정신건강의학과의원,양평로 99,37.536484,126.8960764,대명빌딩10층,02.6909.9870
15,영등포구,라임정신건강의학과의원,국제금융로 78,37.5208211,126.931415,홍우빌딩 301호,02.6105.7520
16,영등포구,스위스정신건강의학과의원,의사당대로1길 11,37.5192603,126.929021,2층,02.780.7576
17,영등포구,여의도삼성정신건강의학과의원,여의대방로 383,37.4972815,126.9171421,경도빌딩 2층,02.780.1593
18,영등포구,여의도쉼정신건강의학과의원,의사당대로 127,37.5204236,126.9265677,롯데캐슬엠파이어 203호,02.6954.6997
19,영등포구,여의도힐정신건강의학과의원,여의나루로 42,37.5230065,126.9263815,여의도종합상가 510호,02.785.7008
20,영등포구,연세봄날정신건강의학과의원,당산로 142-1,37.5273266,126.8973287,클리닉빌딩 7층,02.3667.1338
21,영등포구,오정신건강의학과의원,영신로40길 3-1,37.5213018,126.9026711,,02.2634.5691
22,영등포구,이상구신경정신과의원,영등포로 216,37.5184309,126.9126393,,02.2678.6355
23,영등포구,전명숙신경정신과의원,영중로 46,37.5284323,126.9057359,,02.2636.1044
24,영등포구,조맹제정신건강의학과의원,당산로 133,37.5266232,126.8966376,서림빌딩 302호,02.2678.0088
25,양천구,연세빛 정신건강의학과의원,목동동로 293,37.5160858,126.8653486,현대 41타워 403호,02.6010.7582
26,양천구,나인마음의원,신목로 86,37.5173322,126.8773485,6층,02.2655.0729
27,양천구,마음의뜰 정신건강의학과의원,목동동로 268,37.5160858,126.8653486,신한빌딩 5층 501호,02.2643.6435
28,양천구,서울봄 정신건강의학과의원,목동중앙북로7가길 61,37.5497347,126.8643362,4층 401호,02.2038.8075
29,양천구,서울연 정신건강의학과의원,오목로 300,37.524211,126.870491,현대하이페리온 2차 206동 3층,02.2643.0006
30,양천구,한별 정신건강의학과의원,목동서로 256,37.5384905,126.8835659,동문빌딩 3층,02.2062.1119
31,구로구,고려제일정신과의원,구로동로 240,37.4861657,126.8855372,,02.859.4469
32,구로구,김경률정신건강의학과의원,경인로 661,37.5095178,126.8877039,,02.2678.2679
33,구로구,늘벗정신건강의학과의원,경인로 661,37.5095178,126.8877039,233호,02.3439.8818
34,구로구,마음과마음정신과의원,도림로 65,37.4895268,126.8915208,,02.856.4975
35,구로구,백상정신과의원,경서로 6,37.4980292,126.8569226,,02.2686.6449
36,구로구,성모연정신건강의학과의원,경인로67길 23,37.5111321,126.8893753,,02.2038.7785
37,구로구,아름다운미래의원,구로중앙로 134,37.5060302,126.8762528,,02.864.7341
38,구로구,연세봄정신건강의학과의원,시흥대로 551,37.4825551,126.9002474,,02.867.2022
39,구로구,연세정신건강의학과,디지털로32길 79,37.4835336,126.8997792,,02.855.9996
40,구로구,정인과정신건강의학과,가마산로 205,37.4863487,126.8781413,,02.830.8080
